ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,CLASS
0.14400055,0.67195266,9.402697,-0.00958738,-0.044741105,-0.017044231,0.11780503,0.69605255,9.784553,0.026195526,-0.024099885,-0.38185593,0.035383392,-0.006690095,-0.01917339,11475080074475,Still
0.120050356,0.6821315,9.374256,-0.008522116,-0.04580637,-0.017044231,0.11840378,0.69575316,9.784553,0.001646576,-0.013621674,-0.4102968,0.035365105,-0.0067194644,-0.019166734,11475130074475,Still
0.1287323,0.6598279,9.394913,-0.007456851,-0.044741105,-0.017044231,0.11930191,0.69605255,9.784403,0.00943039,-0.03622467,-0.38949004,0.035378955,-0.006770944,-0.019173395,11475180074475,Still
0.12573853,0.65773225,9.398356,-0.007456851,-0.04261058,-0.018109495,0.120200045,0.6951544,9.784553,0.0055384827,-0.03742218,-0.3861969,0.035333924,-0.006811835,-0.019163262,11475230074475,Still
0.14744338,0.667462,9.376351,-0.008522116,-0.044741105,-0.015978966,0.1207988,0.6951544,9.784553,0.026644593,-0.027692413,-0.40820113,0.035334334,-0.006840814,-0.01916255,11475280074475,Still
0.13037887,0.67045575,9.411379,-0.008522116,-0.044741105,-0.017044231,0.121547244,0.69485503,9.784553,0.008831634,-0.024399262,-0.37317398,0.035317335,-0.006880331,-0.019160729,11475330074475,Still
0.11256592,0.68048495,9.356893,-0.007456851,-0.044741105,-0.015978966,0.121397555,0.69470537,9.784553,-0.008831634,-0.014220429,-0.42766067,0.035311453,-0.0068737306,-0.019161435,11475380074475,Still
0.14370117,0.6715036,9.393117,-0.007456851,-0.044741105,-0.015978966,0.122295685,0.69470537,9.784553,0.021405486,-0.023201752,-0.391436,0.035311326,-0.0069226874,-0.019159216,11475430074475,Still
0.13621673,0.68527496,9.374556,-0.008522116,-0.04261058,-0.018109495,0.123343505,0.69455564,9.784553,0.01287323,-0.0092807,-0.4099974,0.035297073,-0.006969288,-0.0191652,11475480074475,Still
0.15627502,0.6810837,9.384584,-0.008522116,-0.043675844,-0.015978966,0.123792574,0.69485503,9.784553,0.032482453,-0.013771363,-0.39996827,0.035318278,-0.0069989115,-0.019156553,11475530074475,Still
0.13217515,0.67898804,9.377699,-0.007456851,-0.04580637,-0.01917476,0.12499008,0.6950047,9.784403,0.0071850587,-0.016016694,-0.40670425,0.03532181,-0.0070585385,-0.019176409,11475580074475,Still
0.13157639,0.6966513,9.373058,-0.008522116,-0.04580637,-0.014913702,0.12588821,0.6954538,9.784403,0.0056881714,0.0011975098,-0.41134462,0.03534059,-0.007103648,-0.01915872,11475630074475,Still
0.13621673,0.64979875,9.365574,-0.008522116,-0.043675844,-0.017044231,0.12648697,0.6950047,9.784403,0.009729767,-0.045205995,-0.41882905,0.03532087,-0.0071315076,-0.019151835,11475680074475,Still
0.13247451,0.6524931,9.366772,-0.008522116,-0.04261058,-0.015978966,0.12708573,0.69455564,9.784553,0.005388794,-0.042062532,-0.41778123,0.035292953,-0.0071612997,-0.019150559,11475730074475,Still
0.124541014,0.68153274,9.393566,-0.007456851,-0.044741105,-0.017044231,0.12768447,0.69470537,9.784403,-0.003143463,-0.013172608,-0.39083725,0.03530276,-0.007195968,-0.019154646,11475780074475,Still
0.14130615,0.65204406,9.3823395,-0.008522116,-0.04580637,-0.017044231,0.12768447,0.69470537,9.784403,0.013621674,-0.042661287,-0.4020639,0.035304137,-0.007197205,-0.019149402,11475830074475,Still
0.12169693,0.6724017,9.358688,-0.007456851,-0.044741105,-0.015978966,0.12903167,0.6942563,9.784403,-0.0073347474,-0.021854553,-0.42571473,0.035281856,-0.0072612194,-0.01914748,11475880074475,Still
0.13052857,0.6749464,9.361682,-0.007456851,-0.043675844,-0.015978966,0.12918137,0.69470537,9.784403,0.0013471985,-0.019758912,-0.42272094,0.03530163,-0.0072728405,-0.019152243,11475930074475,Still
0.09101074,0.6800358,9.388776,-0.007456851,-0.044741105,-0.018109495,0.12978011,0.69470537,9.784403,-0.03876938,-0.014669495,-0.3956273,0.03530374,-0.0073036207,-0.019156506,11475980074475,Still
0.14519806,0.7008426,9.399853,-0.007456851,-0.044741105,-0.015978966,0.12963043,0.6950047,9.784403,0.015567627,0.00583786,-0.38455033,0.035315875,-0.0072963433,-0.019151453,11476030074475,Still
0.13696519,0.6863228,9.376501,-0.007456851,-0.04580637,-0.015978966,0.13097763,0.69470537,9.784403,0.0059875487,-0.008382568,-0.40790176,0.035298508,-0.0073622614,-0.019143466,11476080074475,Still
0.10103989,0.6646179,9.393117,-0.007456851,-0.044741105,-0.017044231,0.13157639,0.6951544,9.784403,-0.030536499,-0.030536499,-0.3912863,0.03531994,-0.0073904973,-0.019142924,11476130074475,Still
0.11705658,0.71087176,9.411229,-0.007456851,-0.043675844,-0.015978966,0.13172607,0.6951544,9.784403,-0.014669495,0.015717316,-0.37317398,0.035322286,-0.007403603,-0.019142238,11476180074475,Still
0.14504836,0.68841845,9.378448,-0.007456851,-0.044741105,-0.018109495,0.13277389,0.6953041,9.784403,0.012274475,-0.0068856813,-0.40595582,0.035330556,-0.0074532637,-0.019140428,11476230074475,Still
0.12858261,0.7066805,9.368568,-0.008522116,-0.044741105,-0.018109495,0.13322297,0.6956035,9.784253,-0.00464035,0.011076965,-0.41568556,0.035345346,-0.007473441,-0.01914791,11476280074475,Still
0.13696519,0.67734146,9.370963,-0.007456851,-0.04580637,-0.017044231,0.13337265,0.6956035,9.784253,0.0035925293,-0.018262023,-0.41329056,0.035344016,-0.007482809,-0.019139472,11476330074475,Still
